ECA,,,
United States of America,SOMES WORLD- WIDE,Banners/ Flags/ Logos,"7 4,317.95"
United States of America,SOMES WORLD- WIDE,Banners/ Flags/ Logos,"7 4,317.95"
United States of America,"Cisco Systems, In",Computer Hardware,"465,624.20"
United States of America,"Cisco Systems, In",Computer Hardware,"317,904.28"
United States of America,"Cisco Systems, In",Computer Hardware,"294,431.20"
United States of America,"Cisco Systems, In",Computer Hardware,"178,727.00"
United States of America,"Cisco Systems, In",Computer Hardware,"178,727.00"
United States of America,"Cisco Systems, In",Computer Hardware,"130,293.50"
United States of America,"Cisco Systems, In",Computer Hardware,"107,626.80"
United States of America,"Cisco Systems, In",Computer Hardware,"100,291.00"
United States of America,"Cisco Systems, In",Computer Hardware,"8 4,827.90"
United States of America,"Cisco Systems, In",Computer Hardware,"3 9,520.32"
United States of America,"Cisco Systems, In",Computer Hardware,"3 8,523.60"
United States of America,"Cisco Systems, In",Computer Software,"255,318.40"
United States of America,"Cisco Systems, In",Computer Software,"183,245.20"
United States of America,URSANAV INC,Computer Software,"6 1,786.00"
United States of America,EMC CORPORATION,Computer Software,"5 3,403.00"
United States of America,"Cisco Systems, In",Computer Software,"3 9,531.10"
United States of America,"Cisco Systems, In",Computer Software,"3 7,475.00"
United States of America,EMC CORPORATION,Computer Supplies,"192,436.00"
United States of America,PLANSON INTERNATI,Office Supplies & Stationery,"8 6,835.00"
United States of America,PLANSON INTERNATI,Office Supplies & Stationery,"3 8,785.00"
United States of America,PLANSON INTERNATI,Office Supplies & Stationery,"3 3,099.00"
United States of America,SOMES WORLD- WIDE,Uniform Linen and Related,"9 1,488.50"
United States of America,SOMES WORLD- WIDE,Uniform Linen and Related,"6 5,943.50"
United States of America,SOMES WORLD- WIDE,Uniform Linen and Related,"5 0,236.60"
United States of America,United Nations Of,Vehicles,"144,549.55"
United States of America,United Nations Of,Vehicles,"6 0,297.66"
United States of America,United Nations Of,Vehicles,"5 8,023.53"
United States of America,United Nations Of,Vehicles,"5 8,023.53"
United States of America,United Nations Of,Vehicles,"3 5,472.58"
United States of America,United Nations Of,Vehicles,"3 4,146.18"
United States of America,United Nations Of,Vehicles,"3 1,091.40"
ECLAC,,,
Chile,PERSINAS ROLLUX LTDA,Curtains,"5 3,939.89"
Chile,PERSINAS ROLLUX LTDA,Curtains,"4 2,005.86"
Chile,FERROSTAAL CHILE S.A.C.,Hotmelt machine (for binding),"5 0,593.72"
Chile,EQUIPOS ELECTRONICOS Y COMPUT SA,IBM Lotus software,"7 3,564.56"
Chile,DIST. PAPELES INDUSTRIALES S.A.,Paper,"5 8,161.35"
Chile,NETSECURE INFORMATICA LTDA.,Security software for access via internet,"3 0,309.00"
Denmark,DAN:OFFICE APS,IT equipment (servers),"4 7,210.00"
Mexico,"INDUSTRIAS RIVIERA , S.A. DE C.V.",Furniture,"4 7,522.29"
Mexico,ADT PRIVATE SECURITY SERVICES DE ME,Security equipment,"4 1,900.78"
United States of America,LENOVO (UNITED STATES) INC.,Desktops,"141,774.00"
United States of America,LENOVO (UNITED STATES) INC.,Desktops,"4 1,180.00"
United States of America,"ID CARD SYSTEMS, INC.",ID cards,"3 6,044.00"
United States of America,"CISCO SYSTEMS, INC.",IP telephone equipment,"6 6,504.80"
United States of America,PLANSON INTERNATIONAL CORPORATION,Toners,"5 9,279.00"
United States of America,"LASER SHOT, INC",Training equipment,"4 4,181.90"
ECLAC Continued,,,
United States of America,WALDNER'S BUSINESS ENVIRONMENTS,Workstations,"8 2,940.51"
ESCAP,,,
Denmark,DANOFFICE ApS,"HP""printer CP4525DN:11; ""HP""printer P3015DN:40","3 9,106.00"
Germany,BERNT LORENTZ GMBH & CO. KG,Solar panels and Grid Tie Inverters,"4 9,995.36"
Thailand,FIRST INTER BUSINESS LTD.,CCTV Redundant Server with Rack for SSS,"5 0,450.11"
Thailand,"PATARARUNGROJ LTD., PART.",Conference Camera System,"5 3,503.49"
Thailand,EMC INFORMATION SYSTEMS (THAILAND) LTD.,Contract No. PD/C0029/02 by UNHQ,"181,380.00"
Thailand,"FMA GROUP CO., LTD.",Digital Multifunction Medium Duty Photocopiers,"3 9,974.21"
Thailand,"SJS FINE IMPORTS CO., LTD.",Multi-purpose Van for OCHA,"3 5,900.00"
Thailand,"ETON CARS CO., LTD.",Multi-purpose Vehicle for OCHA,"5 7,601.51"
Thailand,"CLUNG WICHA PRESS CO., LTD.","Printing of publication on Economic and Social Survey of Asia and the Pacific 2011, MPDD","3 2,131.74"
Thailand,NTN SOLUTION LIMITED,Provision of converged network adapter (CAN),"3 3,836.95"
Thailand,"IT TECHCOM CO., LTD.",Remarketed HP server rp-3440-4 for IMCTS,"117,025.18"
Thailand,"BMW (THAILAND) CO., LTD.",Representational car for UNESCAP (BMW 7 series),"7 3,158.91"
Thailand,"ROCKWORTH PUBLIC CO., LTD.",Rockworth Modular Furniture,"4 8,250.25"
Thailand,"MODERNFORM INTEGRATION SERVICES CO., LTD.",Servers:HP Proliant DL380G7 SFF CTO Chassis,"154,438.27"
Thailand,MTS ENGINEERING AND RENTAL CO. LTD.,Supply of elevated work platform for FMU,"4 5,819.07"
Thailand,"FASTER ENTERPRISE CO., LTD.",Supply of elevated work platforms for FMU,"4 5,011.01"
United Kingdom,N.T.E. LIMITED,"""BOSCH"" digital microphone:CMU-Nusra","7 4,163.69"
United Kingdom (Gibraltar),TOYOTA GIBRALTAR STOCKHOLDINGS LTD.,Vehicle for SRO,"5 9,525.86"
United States of America,"CISCO SYSTEMS, INC.",CISCO  Equipments for UNCC Infrastructure Upgrade Project,"6 7,820.56"
United States of America,"CISCO SYSTEMS, INC.",Cisco Equipments for IPT project phase 2 and infrastructure upgrade,"261,493.00"
United States of America,"CISCO SYSTEMS, INC.","Cisco License, Meeting place, Smartnet MA Service Support","138,755.36"
United States of America,"CISCO SYSTEMS, INC.",Cisco UC Phone for ESCAP Infrastructure Upgrade,"3 2,030.50"
United States of America,"CISCO SYSTEMS, INC.","CISCO"" TelePresence Codec C40 (2sets)","4 5,609.20"
United States of America,"CISCO SYSTEMS, INC.",IP Phone system (CISCO) for UNISDR's office in Incheon,"3 0,184.60"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo computers for CMU,"3 6,187.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo computers for Software Development sub-unit and CSR center,"4 9,944.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo Desktop ThinkCenter M91p with LCD monitor for IMCTS,"8 8,800.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo Desktops and Laptops for SSS,"3 5,044.00"
United States of America,LENOVO (UNITED STATES) INC.,Lenovo Laptop-  Communications for IPT project (IMCTS),"134,845.00"
United States of America,"ASTROPHYSICS, INC.",Supply of one set of X-Ray Scanning System,"3 9,186.00"
United States of America,"EDART GTI, INC.",UNFCCC: DLP Projectors-2011,"5 2,500.00"
United States of America,"ASTROPHYSICS, INC.",Provision of baggage and luggage screening systems,"8 8,464.00"
Denmark,DAN OFFICE,HP Laserjet Printers + HP Digital Sender,"3 0,270.00"
Denmark,DAN OFFICE,Supply and Delivery of HP Toners,"4 6,749.68"
Iraq,AL-THAKIRA FOR IT AND SOFTWARE CO. LTD,Supply and delivery to MOE Baghdad and MOE Erbil of Promethean Tools,"8 4,915.00"
Japan,"Nissan Trading Co, Ltd.",Supply and Delivery of Nissan Patrol 4X4 Vehicle,"3 2,568.06"
Lebanon,Group 4 Security Systems Lebanon sal,Supply and Delivery of Qty 4 Portable Vehicle Barriers/Road Blockers,"126,304.52"
Lebanon,ALWAN STATIONERY AND LIBRARY,Supply and Delivery of Stationery Items to UNESCWA,"3 5,000.00"
Lebanon,TECHNICAL PAPER CO.,Supply and delivery on DDU basis to UNESCWA A4 Photocopying paper,"3 0,500.00"
Lebanon,Modern House,"Supply, Delivery and Installation of Blackout Rollup Curtains at UNESCWA","4 1,000.70"
Lebanon,AUTOMATION AND COMPUTER TECHNOLOGIES,"Supply, Delivery and Installation of Intrusion Prevention System","4 0,526.50"
United Kingdom,PRESSTEK Europe Limited,Digital PlateMaker Portrait MRIP Momentum,"3 9,300.00"
United States of America,Globecomm systems Inc,Purchase of Satellite Earth Station Equipment,"4 6,578.90"
United States of America,"CISCO SYSTEMS, INC.","Supply and Delivery FCA, JFK New York, through SDV USA","8 9,284.70"
United States of America,LENOVO (UNITED STATES) INC.,Supply and delivery of IT equipment,"205,320.00"
United States of America,LENOVO (UNITED STATES) INC.,"Supply and delivery on DDU Basis at UNESCWA, Beirut of Lenovo IT Equipment","6 4,440.00"
United States of America,LENOVO (UNITED STATES) INC.,"Supply and delivery on DDU Basis at UNESCWA, Beirut of Lenovo IT Equipment","4 3,400.00"
FAO,,,
Afghanistan,GHULAM MUHAMMAD DIN CO LTD,DAP Fertilizer,"162,350.00"
Afghanistan,GHULAM MUHAMMAD DIN CO LTD,DAP Fertilizer,"2,377,050.00"
Afghanistan,GHULAM MUHAMMAD DIN CO LTD,UREA Fertilizer,"2,406,600.00"
Argentina,FAMACON SA,Containers for project GCP/CUB/016/SPA,"6 8,007.00"
Armenia,LOGIC INTER LLC,Laboratory Equipment,"5 3,257.00"
Armenia,CONCERN ENERGOMASH,Laboratory Equipment,"5 1,900.00"
Armenia,CONCERN ENERGOMASH,Seed processing equipment to Armenia,"9 0,900.00"
Australia,SEAGREEN RESOURCES PTY LTD,FISH FEED EQUIPMENT,"258,272.00"
Australia,STERIDIUM PTY LTD,Germinator / incubator and spare parts,"7 9,295.00"
Austria,PESSL INSTRUMENTS GMBH,AGROMETEOROLOGICAL EQUIPMENT,"6 2,651.00"
Austria,AMEX EXPORT- IMPORT GMBH,Lab. reagents & consumables,"9 5,686.64"
Austria,AMEX EXPORT- IMPORT GMBH,"Lab. supplies, Reagents and Consumables.","122,024.00"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory (diagnostic) kits,"145,208.60"
Austria,VWR INTERNATIONAL GMBH,Laboratory Equipment (Lots 3 & 5),"3 2,824.03"
Austria,AMEX EXPORT- IMPORT GMBH,Laboratory Expandables,"5 9,796.00"
Austria,AMEX EXPORT- IMPORT GMBH,Miscellaneous laboratory sampling material,"141,452.00"
Austria,AMEX EXPORT- IMPORT GMBH,PPE Kits for Mongolia,"3 5,000.00"
Austria,AMEX EXPORT- IMPORT GMBH,Veterinary laboratory equipments and supplies for project,"139,897.00"
Bangladesh,SAMIN POULTRY COMPLEX,CHICKENS TO MULTIPLE LOCATIONS IN,"4 2,080.00"
Bangladesh,TARA TARI,Fiberglass boats,"107,175.00"
Bangladesh,SAMIN POULTRY COMPLEX,HICKENS TO MULTIPLE LOCATIONS IN BANGLADESH,"261,940.00"
Bangladesh,ALIM INDUSTRIES LTD.,PADDY TRESHERS + FAST MOVING SERVICE AND SPARE PARTS,"164,000.00"
Bangladesh,ALIM INDUSTRIES LTD.,PADDY TRESHERS + FAST MOVING SERVICE AND SPARE PARTS,"150,300.00"
Bangladesh,ACI MOTORS LTD,Power Tillers and implements,"388,640.00"
Bangladesh,ALIM INDUSTRIES LTD.,RICE THRESHERS TO TIMOR LESTE,"8 3,370.00"
Brazil,FITARELLI MAQUINAS AGRICOLAS LTDA,Agricultural equipments for various projects,"8 7,357.00"
Brazil,FITARELLI MAQUINAS AGRICOLAS LTDA,Agricultural machinery,"225,286.92"
Brazil,FITARELLI MAQUINAS AGRICOLAS LTDA,Conservation Agriculutre Equipments,"3 7,879.60"
Brazil,TRAMONTINA MULTI SA,Garden Hand Tools,"3 8,269.00"
Brazil,FANKHAUSER LTDA,Planter and seeder machines,"113,629.00"
Burkina Faso,GLOBAL BUSINESS COMPANY SARL,Animal Feed (Tourteaux de Coton),"232,993.87"
Burkina Faso,KING AGRO,FERTILIZER (UREA/NPK) TO BURKINA FASO,"1,350,123.00"
Burkina Faso,TROPIC AGRO CHEM SARL,"FERTILIZERS (UREA, NPK) TO BURKINA FASO","1,477,500.00"
Cambodia,"HENG PICH CHHAY IMPORT-EXPORT CO.,LTD.",FERTILIZERS FOR CAMBODIA,"155,492.54"
Cameroon,LANAVET,Veterinary Vaccines for G. Bissau,"130,700.00"
Canada,UNIVERSAL AUTOMATION SYSTEMS,Telecommunication equipments for FAO Afghanistan,"3 5,745.00"
Canada,TOKMAKJIAN INTERNATIONAL INC,Tractor,"3 4,284.00"
Canada,SUPLAY INC,Windmill,"134,149.04"
Central African Republic,SACB,Animal Livestock: Oxen,"8 2,793.72"
Central African Republic,ALHADJI ISSA OUMAROU - SOCIETE FNEC,Animal Livestock: Oxen,"7 6,094.21"
Central African Republic,SOCAVI,Barrows for project,"123,641.78"
Central African Republic,ETS ROLEX 3000,Bovins,"8 2,309.44"
Central African Republic,OUSMAN SHEHOU,Bovins,"7 1,066.53"
Central African Republic,ABDEL - KARIM ALI,Bovins,"8 3,364.73"
Central African Republic,OUMAROU ALIM,Bovins,"7 2,640.14"
Central African Republic,ABDEL AZIZ MAHAMAT,Local seeds,"238,684.00"
Central African Republic,ABDEL - KARIM ALI,PLOUGHS (CHARRUES),"8 6,322.66"
Central African Republic,GROUPE DJIBRO SERVICE,Amendment to the actual quantities against the original qty: 10000 PR 47272 TARPAULINS,"120,884.25"
Central African Republic,ETS SICAAL,Semences locales,"221,062.90"
China,ITI COMPANY (SHANGHAI) LTD.,Agricultural Hand Tools,"125,880.00"
China,TAIHUA INTERNATIONAL TRADING,Hatchery machines,"9 2,628.92"
China,GUANGZHOU LAND CENTURY CO. LTD,PLASTIC SHEETING ROLLS TO NAMPO PORT IN  NORTH KOREA,"564,816.00"
China,DANDONG IMPORT & EXPORT CORPORATION,change the quantities  VEGETABLE SEEDS TO PYONGYANG,"129,360.00"
China,SUPERMAP SOFTWARE CO LTD,Software,"6 8,460.00"
China,DANDONG IMPORT & EXPORT CORPORATION,UREA Fertilizer,"346,752.90"
"China, Hong Kong",GLOBAL FLEET SALES LIMITED,Vehicles Pick ups 4WD,"174,800.00"
Colombia,ETEC SA,Water pumps with accessories,"9 1,419.00"
Cuba,LAFUENTE SEGOVIA,Metal goods,"144,188.67"
Cuba,LABRECO TRADE SA,Metal goods,"112,011.65"
Cuba,LAFUENTE SEGOVIA,Wire and metal products for various projects,"7 2,755.60"
Denmark,DANOFFICE LTD,"CISCO WI-FI EQUIP,EMT FOR FIELD OFFICES","188,929.81"
Denmark,DANOFFICE LTD,Communication and IT equipments for various projects,"5 8,391.50"
Denmark,ADVIZING IT,Desktops for project OSRO/EGY/701/USA,"110,542.25"
Denmark,HVALPSUND NET,Fishing tools and equipments,"9 3,300.00"
Denmark,DANOFFICE LTD,HP 8540P EliteBook Laptops - GCP/GLO/208/BMG,"3 3,934.00"
Denmark,DANOFFICE LTD,HP Elite 8100 CM Mini Towers - Various TF INT Projects,"4 9,900.50"
Denmark,DANOFFICE LTD,HP Elite 8100 CM Mini Towers + HP 8540P & HP 2540P EliteBook Laptops,"3 5,411.25"
Denmark,DANOFFICE LTD,HP Elite 8100 SFF Computers + HP 8440P EliteBook Laptops,"3 6,835.00"
Denmark,DANOFFICE LTD,HP Elite 8200 CM MiniTowers,"7 2,389.50"
Denmark,DANOFFICE LTD,HP Elite 8200 CM MiniTowers,"3 3,258.00"
FAO Continued,,,
Denmark,DANOFFICE LTD,"HP Elite 8200 CM MiniTowers + HP 8460P, HP 8560P & HP 2560P EliteBook Laptops","4 4,353.50"
Denmark,DANOFFICE LTD,HP Elite 8200 SFF Computers + HP 8460 & HP 2560P EliteBook Laptops,"3 6,489.25"
Denmark,DANOFFICE LTD,HP PRINTERS TO MULTIPLE LOCATIONS,"468,732.00"
Denmark,BALTIC CONTROL LTD,Inspection at loading and unloading against PO 272937 (G. Muhammad Din Co.)),"3 9,204.00"
Denmark,BALTIC CONTROL LTD,Inspections at unloading against PO 274879 fodder to various locations in Palestine,"4 6,000.00"
Denmark,DANOFFICE LTD,IT Equipment for FAOR Sierra Leone - UNJP/SIL/037/UNJ - CIOFD,"5 9,170.50"
Denmark,DANOFFICE LTD,IT equipments for various projects,"3 5,880.50"
Denmark,KRUUSE JORGEN A/S,Laboratory tools and consumables,"3 7,412.02"
Denmark,KJAER & KJAER A/S,Motorcycles and helmets for various projects,"5 8,188.03"
Denmark,KUEHNE & NAGEL A/S,sea/land freight charges for drip irrigation equipment against,"7 0,836.76"
Denmark,KJAER & KJAER A/S,Vehicle with accessories,"3 9,614.00"
Denmark,United Nation Office for Project Services (UNOPS),Vehicle with accessories,"9 6,414.82"
Denmark,United Nation Office for Project Services (UNOPS),Vehicle with accessories for FAO Congo,"3 9,916.50"
Denmark,United Nation Office for Project Services (UNOPS),Vehicle with accessories for FAO Laos,"5 8,477.81"
Djibouti,ETS AGROAMIN,Veterinary products,"4 0,571.95"
Dominican Republic,ALEJANDRO RAMIREZ BIDO,Bean Seeds,"207,869.20"
Dominican Republic,COMITE AGROPECUARIO SAN JUAN,Bean Seeds Arroyo Loro,"369,899.02"
Dominican Republic,ALEJANDRO RAMIREZ BIDO,Bean Seeds Buena Vista,"329,220.80"
Dominican Republic,FERTILIZANTES SANTO DOMINGO SA (FERSAN),Fertilizers (Urea and NPK),"147,285.00"
Dominican Republic,FERTILIZANTES QUIMICOS DOMINICANOS SA,UREA & NPK granular fertilizer reimburement against,"4 3,159.00"
Egypt,Agitech- Arabian Group of Integrated Technology,Laboratory Equipment for Project,"116,061.40"
France,KULKER SAS,Drip irrigation equipment,"362,874.90"
France,BIOTOP,Ephestia Eggs for project,"5 3,983.52"
France,SPOT IMAGE SA,Images of Viet Nam,"5 7,551.58"
France,KULKER SAS,Irrigation equipment for project,"6 9,790.28"
France,TREDI SA,PACKAGING MATERIAL,"7 5,475.00"
France,GERMICOPA SA,Potato Seeds,"371,000.00"
France,FRARIMPEX SARL,Spunta Potato Seeds,"5 1,108.40"
France,CPS - CFAO PROCUREMENT SERVICES,Toyota Land Cruiser Vehicles,"229,525.00"
France,CPS - CFAO PROCUREMENT SERVICES,Vehicle with accessories for project,"3 6,871.11"
France,AQUA TEC,Water tanks for project,"152,903.68"
Georgia,UGT LTD,Servers and Storage Equipment,"6 0,232.00"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Backpack Sprayers & Disinfectant Virkon for Mongolia,"4 2,612.00"
Germany,E-OBS GMBH,Direct Procurement of GPS Collars to Mongolia,"3 3,214.29"
Germany,FLEISCHHACKER GMBH & CO KG,Laboratory Consumables for Mongolia,"4 2,403.23"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Laboratory Equipment for National Vet. Lab,"8 2,102.00"
Germany,TECHNOLOGIE TRANSFER MARBURG,LABORATORY EQUIPMENT FOR PROJECT,"7 2,354.26"
Germany,FLEISCHHACKER GMBH & CO KG,LABORATORY EQUIPMENT TO VARIOUS LOCATIONS,"102,285.06"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Laboratory equipments and reagent supplies for project,"7 4,315.50"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Laboratory equipments and supplies for project,"6 6,570.00"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Laboratory supplies,"105,280.00"
Germany,SANDBERG & SCHNEIDEWIND,Laboratory tools and equipments for project,"6 1,333.49"
Germany,LEICA MIKROSYSTEME VERTRIEB GMBH,Microscopes for project EP/GLO/802/GEF,"6 4,520.00"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Miscellaneous laboratory tools and consumables,"4 3,278.00"
Germany,LABSCO GMBH & CO KG LABORATORY SUPPLY COMPANY,Miscellaneous seed testing laboratory equipment,"122,238.64"
Germany,FLEISCHHACKER GMBH & CO KG,Poultry Isolators for Egypt,"260,332.98"
Haiti,SOGESEP SA,Crops Seeds for Projects,"797,891.00"
Haiti,VIDRO TRADING,Hand Operated PUMPS for Haiti,"8 6,800.00"
Haiti,AU JARDIN TROPICAL,Maize Seeds for Project,"160,000.00"
Honduras,ESCUELA AGRICOLA PANAMERICANA,Bean Seeds and Maize Seeds,"322,096.65"
Honduras,FERTILIZANTES DEL NORTE SA DE CV (FENORSA),Fertilizers (DAP- UREA - NPK),"1,437,653.90"
Honduras,EYL COMERCIAL - AGROPECUARIA SA,Foliar Fertilizer,"9 1,959.76"
India,MAXCARE MARKETING & TECHNICAL SERVICES,Animal feed plant for Herat under project,"4 2,874.00"
India,MAXCARE MARKETING & TECHNICAL SERVICES,FEED MILL EQUIPMENT,"196,275.00"
India,BRILLIANT BIO PHARMA LIMITED,FMD vaccines for DPRK,"216,000.00"
India,BRILLIANT BIO PHARMA LIMITED,"FMD vaccines for DPRK, project","400,000.00"
India,BELLSTONE HI-TECH INTERNATIONAL,Galvanized buckets for Project,"3 2,278.00"
India,INDOSAW,Laboratory consumables for project,"3 1,245.53"
India,MAALAB SCIENTIFIC EQUIPMENT (I) PVT LTD,Laboratory Equipment (Lots 1 & 2),"3 4,308.48"
India,BELLSTONE HI-TECH INTERNATIONAL,Laboratory Equipment for Elisa Labs,"5 9,827.00"
India,OSAW AGRO INDUSTRIES PVT LTD,Laboratory equipments and consumables for project,"3 1,245.53"
India,WEBEL MEDIATRONICS LTD,Radio and Studio Equipment for Project,"8 1,155.00"
India,BRY AIR ASIA PVT LTD,SEED DRYER-OSRO/IRQ/703/UDG,"6 5,625.00"
India,OSAW AGRO INDUSTRIES PVT LTD,Seed processing equipment to Armenia,"115,906.00"
India,OSAW AGRO INDUSTRIES PVT LTD,Seed Treating Machines for Project,"3 4,838.00"
India,OSAW AGRO INDUSTRIES PVT LTD,Small scale seed processing plant for Mozambique,"140,772.00"
India,OSAW AGRO INDUSTRIES PVT LTD,VEGETABLE SEED PROCESSING PLANT,"281,896.00"
Italy,SOFTWAY SRL,3 Years Extension of initial lot of VMware Licenses Acquired - CIOHD,"4 8,339.66"
Italy,HARPA ITALIA SRL,"Acquisition of 1 Server DL380, 2 Servers DL580 & 1 Rack","8 4,352.00"
Italy,HARPA ITALIA SRL,Acquisition of 2 Autoloaders for Backup,"9 5,002.73"
Italy,HARPA ITALIA SRL,Acquisition of 6TB Disk Space for SAN XP24000,"5 9,344.73"
Italy,HARPA ITALIA SRL,Acquisition of GAEZ Geoprocessing Server,"185,654.88"
Italy,HARPA ITALIA SRL,Acquisition of Hardware for Business Continuity Planning,"4 5,580.67"
Italy,HARPA ITALIA SRL,Acquisition of Servers and Storage for Hosting,"6 9,766.40"
Italy,HARPA ITALIA SRL,Acquisition of Storage+Rack+Small Server,"6 9,952.00"
Italy,SOFTWAY SRL,Acquisition of Wmware licenses,"5 2,195.71"
