Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,508424,SLEEPING BAG DEFENCE 4 SIZE 200,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,971880,SLEEPING BAG TROPEN SIZE 200,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,1066400,EXPLORER II PLUS,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,1549008,EXPLORER II PLUS,Orders Awarded,2011,Q3Q4,Austria,PROCUREMENT
PALFINGER EUROPE GMBH,AUT,142634,KAMERASYSTEM,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,193200,SLEEPING BAG DEFENCE 1,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,199082,EXPLORER II PLUS,Orders Awarded,2012,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,235800,SLEEPING BAG DEFENCE 4 185,Orders Awarded,2012,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,260840,SLEEPING BAG TROPEN SIZE 200,Orders Awarded,2012,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,291270,SLEEPING BAG TROPEN SI,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,405983,SLEEPING BAG DEFENCE 4,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,599760,SLEEPING BAG DEFENCE 4 SIZE 200,Orders Awarded,2012,Q3Q4,Austria,PROCUREMENT
PALFINGER EUROPE GMBH,AUT,960027,CRAYLER FLG 140 1300KG,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
HIRTENBERGER DEFENCE SYSTEMS GMBH &,AUT,1122160,PURCHASE OF AMMUNITION,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,1236900,EXPLORER II PLUS,Orders Awarded,2012,Q1Q2,Austria,PROCUREMENT
SCHIEBEL MINE DETECTION GMBH,AUT,1300500,AN-19/2 MINE DETECTING SET,Orders Awarded,2012,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH (CARINTHIA),AUT,1352850,SLEEPING BAG DEFENCE 4 SIZE 200,Orders Awarded,2012,Q3Q4,Austria,PROCUREMENT
TECHCON-CONSULT GMBH,AUT,169840,ROTOX NVG FRIENDLY ANTI-COLLISION LIGHT,Orders Awarded,2015,Q3Q4,Austria,PROCUREMENT
GOLDECK TEXTIL GMBH,AUT,297908,SLEEPING BAG,Orders Awarded,2016,Q3Q4,Austria,PROCUREMENT
VEXCEL IMAGING GMBH,AUT,2483081,SUPPLY AND ILS OF AERIAL RECONNAISANCE SYSTEM FOR PC-6 AIRCRAFT,Outline Agreement,2016,Q3Q4,Austria,PROCUREMENT
VEXCEL IMAGING GMBH,AUT,,KTU160007,,2016,Q3Q4,Austria,BIDDING
AIRBORNE TECHNOLOGIES GMBH,AUT,,STE17002R1,,2017,Q1Q2,Austria,BIDDING
AIRBUS HELICOPTERS,AUT,,FAN17002,,2017,Q1Q2,Austria,BIDDING
SCHIEBEL MINE DETECTION GMBH,AUT,,PIO17010,,2017,Q3Q4,Austria,BIDDING
SCHIEBEL MINE DETECTION GmbH,AUT,4500000,PROVISION OF MINE DETECTORS & TRAINING,Outline Agreement,2018,Q1Q2,Austria,PROCUREMENT
AZERBAIJAN NATIONAL AGENCY FOR,AZE,399022,SUPPORT OF TRUST FUND PROJECT GEORGIA III,Orders Awarded,2011,Q1Q2,Azerbaijan,PROCUREMENT
AZERBAIJAN NATIONAL AGENCY FOR,AZE,2476000,PFP-CLEARANCE OF UNEXPLODED ORDNANCE IN AZERBAIJAN,Outline Agreement,2012,Q1Q2,Azerbaijan,PROCUREMENT
AZERBAIJAN NATIONAL AGENCY FOR,AZE,1820000,MINE/UXO CLEARANCE,Outline Agreement,2014,Q3Q4,Azerbaijan,PROCUREMENT
INFRAVISION BVBA,BEL,856520,SOFTWARE LICENCES AND PRODUCT MAINTENANCE,Orders Awarded,2008,Q3Q4,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,1245500,SUPPLIES FOR AWACS,Orders Awarded,2008,Q3Q4,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,115291489,48 PROTECTED VEHICLE PLATFORMS (DINGO II) INTEGRATION OF THE MISSION KIT INTO THE VEHICLE PLATFORM AND LOGISTIC SUPPORT,Orders Awarded,2008,Q1Q2,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,115291489,"48 PROTECTED VEHICLE PLATFORMS (DINGO II), INTEGRATION OF THE MISSION KIT INTO THE VEHICLE PLATFORM AND LOGISTIC SUPPORT",Orders Awarded,2008,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,77450,HELICOPTERS SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,78824,HELICOPTER SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,80267,HELICOPTERS SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,89658,HELICOPTERS SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,93217,AWACS SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,96101,LICENSES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,100000,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
AEG BELGIUM SA/NV,BEL,106884,HELICOPTER SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
SERENA SOFTWARE BENELUX BVBA,BEL,117068,COMMUNICATION SYSTEMS SERVICES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
REDCORP,BEL,122570,MARITIME CIS SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,123857,HELICOPTER SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
LEBRUN SA,BEL,132100,C-17 SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
SABENA TECHNICS SA/NV,BEL,138589,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
ROHDE & SCHWARZ BELGIUM SA,BEL,141013,GENCIS&NCCAP SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,160721,AIR DEFENSE GROUND SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,168705,LICENSES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
BARCO NV,BEL,173760,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,197340,HELICOPTER SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,304634,HELICOPTERS SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,436811,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
ROHDE & SCHWARZ BELGIUM SA,BEL,456229,PATRIOT SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
ROHDE & SCHWARZ BELGIUM SA,BEL,460541,CAPABILITY PACKAGES SERVICES,Orders Awarded,2009,Q1Q2,Belgium,PROCUREMENT
SIDEM SERVICE BVBA,BEL,486650,CP SERVICES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,496070,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,501045,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
DOOSAN BENELUX SA,BEL,1047811,CP SERVICES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,1050000,AWACS SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
VAREC NV,BEL,1074649,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2009,Q3Q4,Belgium,PROCUREMENT
BLACK BOX NETWORK,BEL,null,SHAPE-GENCIS&NCCAP SUPPLIES,Outline Agreement,2009,Q3Q4,Belgium,PROCUREMENT
BT LTD,BEL,null,IT SERVICES,Outline Agreement,2009,Q1Q2,Belgium,PROCUREMENT
INSIGHT TECHNOLOGY,BEL,null,LICENCE MANAGEMENT SERVICES,Outline Agreement,2009,Q3Q4,Belgium,PROCUREMENT
INTERSOFT ELECTRONICS,BEL,null,AIR DEFENCE GROUND SYSTEMS UPGRADE,Outline Agreement,2009,Q1Q2,Belgium,PROCUREMENT
MINDSTREAM SPRL,BEL,null,RANDOM BROKERAGE SERVICES,Outline Agreement,2009,Q1Q2,Belgium,PROCUREMENT
SIEMENS ENTERPRISE COMMUNICATIONS,BEL,null,PABX TECHNICAL SUPPORT SERVICES,Outline Agreement,2009,Q1Q2,Belgium,PROCUREMENT
THE WEBBIT NV (EVENTDRIVE),BEL,null,BELCOAST 09  SERVICES,Outline Agreement,2009,Q3Q4,Belgium,PROCUREMENT
VAREC NV,BEL,null,RUNNING GEAR SERVICES,Outline Agreement,2009,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,82354,SATCOM  SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,84160,GENERAL SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
DOOSAN BENELUX SA,BEL,87707,CP SERVICES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
BUSINESS INFORMATION SYSTEMS NV,BEL,92464,GENCIS&NCCAP SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,93000,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,97513,HELICOPTER SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,98984,LICENCE MANAGEMENT SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,107761,MARITIME CIS SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
WEISS TECHNIK BELGIUM BVBA,BEL,118070,COBRA SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,123119,MARITIME CIS SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,128039,MARITIME CIS SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,147600,NLSE SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,149792,COMMUNICATION SYSTEMS SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,150908,HELICOPTER SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
NATO ACCS MANAGEMENT AGENCY,BEL,173758,CSI SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,173766,LICENCE MANAGEMENT SUPPLIES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
C-CURE,BEL,241665,GENCIS&NCCAP SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
VAREC NV,BEL,483993,TRACK SHOES,Orders Awarded,2010,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,621081,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2010,Q3Q4,Belgium,PROCUREMENT
C-CURE,BEL,null,SECURITY PRODUCTS SUPPORT,Outline Agreement,2010,Q1Q2,Belgium,PROCUREMENT
VAREC NV,BEL,80400,TRACK SHOE PADS,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
AEG BELGIUM SA/NV,BEL,81801,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,82354,SATCOM  SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
BELGACOM,BEL,86754,"SERVER, POLYCOM, RMX 2000 IP",Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
DOOSAN BENELUX SA,BEL,87707,CP SERVICES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
INSIGHT TECHNOLOGY,BEL,89149,GOLD PREMIUM SUP. FEDERAL RNW,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
BUSINESS INFORMATION SYSTEMS NV,BEL,92464,GENCIS&NCCAP SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,97513,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
BP CONDITION MONITORING,BEL,100000,OIL ANALYSIS SERVICES FOR THE S743 AND FPS-117 S227 RADARS,Outline Agreement,2011,Q1Q2,Belgium,PROCUREMENT
MICHELIN SA,BEL,100450,"TIRE,PNEUMATIC,VEHICULAR",Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
MICHELIN SA,BEL,100450,"TIRE,PNEUMATIC,VEHICULAR",Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,101953,LICENCE MANAGEMENT SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,107761,MARITIME CIS SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
ROOD C.N. NV,BEL,110360,UPGRADE OF TEKTRONIK REAL TIME SPECTRUM ANALYZER,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
AEG BELGIUM SA/NV,BEL,115120,SPARE PARTS FOR THE NATO AWACS,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,123119,MARITIME CIS SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,128039,MARITIME CIS SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,146157,PURCHASE OF NETWORK ANALYZER(PNA- X),Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,150908,HELICOPTER SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
SEYNTEX NV,BEL,154800,SLEEPING CABINS,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
GARTNER BELGIUM BVBA,BEL,165000,GARTNER GROUP RESEARCH AND ADVISORY SERVICES,Outline Agreement,2011,Q3Q4,Belgium,PROCUREMENT
NATO ACCS MANAGEMENT AGENCY,BEL,173758,CSI SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,178979,LICENCE MANAGEMENT SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
ZETES,BEL,185000,NAMSA BARCODE HARD/SOFTWARE MAINTENANCE,Outline Agreement,2011,Q1Q2,Belgium,PROCUREMENT
CLARK MASTS TEKSAM NV,BEL,185760,MAST + GROUND KIT,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
CLARK MASTS TEKSAM NV,BEL,185760,MAST + GROUND KITS,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
ATLAS COPCO COMPRESSORS BENELUX,BEL,201840,OIL INJECTED ROTARY SCREW COMPRESSOR,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
INTERSOFT ELECTRONICS,BEL,204303,PAR VIDEO INTERFACE,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
OSIATIS,BEL,215000,ON-SITE TECHNICIAN FOR  PCS MAINTENANCE,Outline Agreement,2011,Q1Q2,Belgium,PROCUREMENT
C-CURE,BEL,241665,GENCIS&NCCAP SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
SEYNTEX NV,BEL,301680,NM 240 OUTER LAYERS,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,325272,"SUBMACHINE GUN, P90",Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
TELENET NV,BEL,350000,PALO ALTO PRODUCTS,Outline Agreement,2011,Q3Q4,Belgium,PROCUREMENT
CISCO SYSTEMS,BEL,375730,MARITIME CIS SERVICES,Outline Agreement,2011,Q1Q2,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,380343,5620 SAM-O R9.0 LICENSE,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,569600,MITRAILLEUSE .50 M2HB QCB,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,569600,MITRAILLEUSE .50 M2HB QCB,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
THALES BELGIUM SA,BEL,591866,PRV CARGO BOXES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,612995,AMMUNITION SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
FN HERSTAL SA,BEL,621081,RANDOM BROKERAGE SUPPLIES,Orders Awarded,2011,Q1Q2,Belgium,PROCUREMENT
NEXTEL NV,BEL,650000,SUPPORT OF NATO-OWNED ALCATEL SWITCHES,Outline Agreement,2011,Q3Q4,Belgium,PROCUREMENT
SEYNTEX NV,BEL,3116080,INFLATABLE TENTS,Orders Awarded,2011,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,76000,BATTERIE DE DÉMARRAGE CHARGÉE SÈCHE,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
NATIONAL INSTRUMENTS BELGIUM NV,BEL,82100,PROCUREMENT OF VARIOUS ITEMS FOR LE-TE WORKSHOP,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
ROHDE & SCHWARZ BELGIUM SA,BEL,87875,PURCHASE OF MATERIEL OF ROHDE AND SCHWARZ ORIGIN.,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,95521,ORACLE LICENSES,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
HELPELEK,BEL,97500,SAFT LITHIUM CELL LSH,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
CMI EMI SA,BEL,100000,IDIQ  CONTRACT FOR US ARMY VEHICLES,Outline Agreement,2012,Q1Q2,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,102876,SUPPLIES FOR HELICOPTER,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,105012,ORACLE LICENSES,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
VAREC NV,BEL,112500,PAD TRACK SHOE,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
AGUSTA AEROSPACE SERVICES SA,BEL,119343,SUPPLIES FOR HELICOPTER,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
INTERSOFT ELECTRONICS,BEL,127871,RADAR RF TEST SET,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,131580,NEW PXA SIGNAL ANALYZER,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
DELOITTE,BEL,139000,IN-HOUSE MANAGEMENT & LEADERSHIP TRAININ,Outline Agreement,2012,Q3Q4,Belgium,PROCUREMENT
ALCATEL-LUCENT,BEL,171392,CIS SUPPLY,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
ORACLE BELGIUM BVBA,BEL,184348,ORACLE LICENSES,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
AGILENT TECHNOLOGIES,BEL,184771,PROC. NETWORK ANALYZER,Orders Awarded,2012,Q1Q2,Belgium,PROCUREMENT
TRADOS GMBH BELGIAN BRANCH,BEL,188919,PROCUREMENT OF SERVICES,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,214800,EXIDE GEL DRIFYT 12V 115AH,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
MV PARTS,BEL,220500,EXIDE GEL DRIFYT 12V 100AH,Orders Awarded,2012,Q3Q4,Belgium,PROCUREMENT
