organisation,year,vendor_country,vendor_name,amount,description,country_code,Type,Period
NATO,2008,Germany,LIEBHERR-AEROSPACE LINDENBERG GMBH,1356075.0,PROCUREMENT OF SPARE PARTS FOR C160 TRANSALL A/C,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,NAMMO BUCK GMBH,119093.52,DEMIL MLRS M26 ROCKETS,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,NAMMO BUCK GMBH,1190935.2,DEMIL MLRS M26 ROCKETS,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,NAMMO BUCK GMBH,5944630.02,DEMIL MLRS M26 ROCKETS,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,NAMMO BUCK GMBH,5944630.02,DEMIL MLRS M26 ROCKETS,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,PRATT & WHITNEY CANADA / M.T.U.,1066420.32,EXCHANGE OF A PT-6 ENGINE,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,PRATT & WHITNEY CANADA / M.T.U.,1066420.32,EXCHANGE OF A PT-6 ENGINE,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RHEINMETALL WAFFE MUNITION GMBH,1341522.0,SUPPLY OF AMMUNITION,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,ROEDER PRAEZISION GMBH,5035683.45,"PROCUREMENT OF ""HALBSCHALE"" FOR C160 TRANSALL A/C",DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,ROEDER PRAEZISION GMBH,5035683.45,PROCUREMENT OF HALBSCHALE FOR C160 TRANSALL A/C,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUAG AMMOTEC GMBH,1856962.8,SUPPLY OF AMMUNITION,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1059456.93,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1060516.8,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1067783.01,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1068469.5,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1075025.7,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1075127.13,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1095993.78,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1122437.61,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1159902.03,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1177499.4,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1203990.27,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1210862.52,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1222945.92,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1244600.49,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,1244600.49,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,1560040.44,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,1764545.37,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,2053626.75,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,2072724.99,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,2098058.97,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,2098058.97,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,2651186.16,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,2718960.51,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,2947791.0,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,4525687.53,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,4525687.53,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,4805928.33,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,5598170.13,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,5598170.13,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,5760184.71,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,5923828.05,FLYING HOURS + INSURANCE,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,RUSLAN SALIS GMBH,6900406.38,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,6900406.38,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,55548360.0,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,RUSLAN SALIS GMBH,55548360.0,AIR TRANSPORTATION CARGO,DEU,Orders Awarded,Q1Q2
NATO,2008,Germany,TEST-FUCHS,2646176.4,PURCHASE OF A SPARE PARTS KIT,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,VALLON GMBH,1876124.25,SUPPLY OF MINE DETECTING SET,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,VALLON GMBH,2186625.0,SUPPLY OF MINE DETECTING SET,DEU,Orders Awarded,Q3Q4
NATO,2008,Germany,ZF LUFTFAHRTTECHNIK GMBH,3423703.5,PURCHASE OF BERGUNGSWINDEN STEUERUNGSWINDEN,DEU,Orders Awarded,Q3Q4
NATO,2008,Ireland,MICROSOFT EUROPEAN OPERATIONS,1735671.63,MICROSOFT PRODUCTS,IRL,Orders Awarded,Q3Q4
NATO,2008,Italy,ARIS SPA,2803444.35,OVERHAUL OF ASPIDE ROCKET MOTORS,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,ARIS SPA,2803444.35,OVERHAUL OF ASPIDE ROCKET MOTORS,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,ARIS SPA,5805177.0,FLATBED SEMI-TRAILER,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,ARIS SPA,5805177.0,FLATBED SEMI-TRAILER,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,BIOTRACE MICROSAFE SRL,1564815.0,NBC FIELD LABORATORY,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,BIOTRACE MICROSAFE SRL,1564815.0,NBC FIELD LABORATORY,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,CITTERIO F.LLI S.P.A.,1294335.0,SUPPLY OF FLAK JACKET,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,ELETTRONICA ASTER SPA,2128414.47,PROCUREMENT OF PARTS FOR REMOTE ASSET SECURITY SYSTEM (RASS),ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,ELETTRONICA ASTER SPA,2128414.47,PROCUREMENT OF PARTS FOR REMOTE ASSET SECURITY SYSTEM (RASS),ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,ESPLODENTI SABINO SRL,1385891.01,DEMILITARIZATION,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,GALILEO AVIONICA SPA,1186290.0,ROCKET ENGINE,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,NEC PHILIPS UNIFIED SOLUTIONS,4315603.95,RGTI SUPPORT SERVICES,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,SEI SPA,2017134.0,SUPPLY OF AMMUNITION,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,SELEX COMMUNICATIONS SPA,3320015.58,COMMUNICATION EQUIPMENT,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,SELEX COMMUNICATIONS SPA,3320015.58,COMMUNICATION EQUIPMENT,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,SELEX SISTEMI INTEGRATI SPA,1280909.49,SUPPLY OF RADAR SPARES,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,SELEX SISTEMI INTEGRATI SPA,8085000.0,ENGINEERING SUPPORT  FOR RADARS,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,SELEX SISTEMI INTEGRATI SPA,8085000.0,ENGINEERING SUPPORT FOR RADARS,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,SICAMB SPA,1509776.73,SUPPLY OF AMMUNITION,ITA,Orders Awarded,Q3Q4
NATO,2008,Italy,VITROCISET SPA,5586000.0,LOGISTIC SUPPORT FOR PISQ,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,VITROCISET SPA,5586000.0,LOGISTIC SUPPORT FOR PISQ,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,VITROCISET SPA,27928393.29,LOGISTIC SUPPORT FOR PISQ,ITA,Orders Awarded,Q1Q2
NATO,2008,Italy,VITROCISET SPA,27928393.29,LOGISTIC SUPPORT FOR PISQ,ITA,Orders Awarded,Q1Q2
NATO,2008,Monaco,ES-KO,1695086.4,CONSTRUCTION OF NEW ROOF AND BLAST WALLS FOR HEART BFI,MCO,Orders Awarded,Q3Q4
NATO,2008,Norway,NAMMO A/S,1063819.89,SUPPLY OF AMMUNITION,NOR,Orders Awarded,Q3Q4
NATO,2008,Norway,POLARIS NORWAY AS,7592758.74,ATVS,NOR,Orders Awarded,Q1Q2
NATO,2008,Norway,POLARIS NORWAY AS,7592758.74,ATVS,NOR,Orders Awarded,Q1Q2
NATO,2008,Portugal,EFACEC SERVICOS DE MANUTENCAO,1360842.21,AN/FPS-117 MODIFICATIONS,PRT,Orders Awarded,Q3Q4
NATO,2008,Spain,INDRA-ECE U.T.E.,2071177.08,"DESIGN, DEVELOPT AND INSTALLATION OF ALR-400",ESP,Orders Awarded,Q3Q4
NATO,2008,Spain,INDRA-ECE U.T.E.,3033975.63,PROCUREMENT OF GROUND SUPPORT EQUIPT FOR ASE,ESP,Orders Awarded,Q3Q4
NATO,2008,Spain,INDRA-ECE U.T.E.,4022221.35,"DESIGN, DEVELOPT AND INSTALLATION OF ASE ON CHINOOK HELICOPTERS",ESP,Orders Awarded,Q3Q4
NATO,2008,Sweden,BRP FINLAND OY,8049205.5,SNOWMOBILES,SWE,Orders Awarded,Q1Q2
NATO,2008,Sweden,BRP FINLAND OY,8049205.5,SNOWMOBILES,SWE,Orders Awarded,Q1Q2
NATO,2008,Switzerland,PILATUS FLUGZEUGWERKE AG,1477457.31,MADRAS INSTALLATION INTO PC-9,CHE,Orders Awarded,Q3Q4
NATO,2008,Switzerland,PILATUS FLUGZEUGWERKE AG,1807323.84,MADRAS INSTALLATION INTO PC-9,CHE,Orders Awarded,Q3Q4
NATO,2008,Turkey,CESAS INSAAT TICARET VE SANAYI AS,1796992.68,FYROM ROADS CONSTRUCTION,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,CESAS INSAAT TICARET VE SANAYI AS,1796992.68,FYROM ROADS CONSTRUCTION,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,CESAS INSAAT TICARET VE SANAYI AS,7476089.25,FYROM ROADS CONSTRUCTION,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,CESAS INSAAT TICARET VE SANAYI AS,7476089.25,FYROM ROADS CONSTRUCTION,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,GOKTURK FOREIGN TRADE,1317932.91,PURCHASE OF AVUM SPARE PARTS AND H-60 ERFS,TUR,Orders Awarded,Q3Q4
NATO,2008,Turkey,METAG CONSTRUCTION TRADE CO,1316205.66,RELOCATION OF THE US SUPPLY SUPPORT ACTIVITY (US SSA) AT KANDAHAR AIRFIELD,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,METAG CONSTRUCTION TRADE CO,1316205.66,RELOCATION OF THE US SUPPLY SUPPORT ACTIVITY (US SSA) AT KANDAHAR AIRFIELD,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,ROKETSAN,1666246.47,SUPPLY OF AMMUNITION,TUR,Orders Awarded,Q3Q4
NATO,2008,Turkey,TEPE INSAAT SAN AS,1255481.43,MES PATROL ROUTE,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,TEPE INSAAT SAN AS,1255481.43,MES PATROL ROUTE,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGUN INSAAT SANAYI VE TIC A.S.,1736774.13,MEU GROUND WORKS,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGUN INSAAT SANAYI VE TIC A.S.,1736774.13,MEU GROUND WORKS,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGUN INSAAT SANAYI VE TIC A.S.,4557077.91,CATO CARGO RECEIVING AREA AT KAF,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGUN INSAAT SANAYI VE TIC A.S.,4557077.91,CATO CARGO RECEIVING AREA AT KAF,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGUN INSAAT SANAYI VE TIC A.S.,17459544.27,PROVISION OF LIVING ACCOMMODATION,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGUN INSAAT SANAYI VE TIC A.S.,17459544.27,PROVISION OF LIVING ACCOMMODATION AT KANDAHAR AIR FIELD (KAF),TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YENIGÜN INŞAAT SANAYI VE TICARET A.Ş.,13118280.0,KAF BULK FUEL INSTALLATION PHASE III,TUR,Orders Awarded,Q3Q4
NATO,2008,Turkey,YENIGÜN INŞAAT SANAYI VE TICARET A.Ş.,33291422.22,KAF ROLE 3 MEDICAL TREATMENT FACILITY,TUR,Orders Awarded,Q3Q4
NATO,2008,Turkey,YUKSEL INSAAT AS,60629409.12,KAIA APOD RELOCATION- PHASE II,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,YUKSEL INSAAT AS,60629409.12,KAIA APOD RELOCATION- PHASE II,TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,ZAFER TAAHHUT INSAAT VE,20898228.54,ROLE II MTF AT KAIA (MEDICAL TREATMENT FACILITY),TUR,Orders Awarded,Q1Q2
NATO,2008,Turkey,ZAFER TAAHHUT INSAAT VE ,20898228.54,ROLE II MTF AT KAIA (MEDICAL TREATMENT FACILITY),TUR,Orders Awarded,Q1Q2
NATO,2008,United Kingdom,AIR PARTNER PLC,1940495.55,AIR TRANSPORTATION CARGO,GBR,Orders Awarded,Q1Q2
NATO,2008,United Kingdom,AIR PARTNER PLC,1940495.55,AIR TRANSPORTATION CARGO,GBR,Orders Awarded,Q1Q2
NATO,2008,United Kingdom,CHEMRING COUNTERMEASURES LTD,1146580.89,SUPPLY OF AMMUNITION,GBR,Orders Awarded,Q3Q4
NATO,2008,United Kingdom,CHEMRING COUNTERMEASURES LTD,3648878.1,SUPPLY OF AMMUNITION,GBR,Orders Awarded,Q1Q2
NATO,2008,United Kingdom,CHEMRING COUNTERMEASURES LTD,3648878.1,SUPPLY OF AMMUNITION,GBR,Orders Awarded,Q1Q2
NATO,2008,United Kingdom,WESTLAND HELICOPTERS LTD,1774585.47,PROCUREMENT OF BLADE ASSEMBLIES,GBR,Orders Awarded,Q1Q2
NATO,2008,United Kingdom,WESTLAND HELICOPTERS LTD,1774585.47,PROCUREMENT OF BLADE ASSEMBLIES,GBR,Orders Awarded,Q1Q2
NATO,2008,United States,AAR MOBILITY SYSTEMS,1108272.69,REPAIR OF 436L PALLETS,USA,Orders Awarded,Q1Q2
NATO,2008,United States,AAR MOBILITY SYSTEMS,1108272.69,REPAIR OF 436L PALLETS,USA,Orders Awarded,Q1Q2
